Lachnoanaerobaculum	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoanaerobaculum	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoanaerobaculum
Lachnoclostridium	sk__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium
Lactobacillaceae	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae
Lactococcus	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Lactococcus
Leeuwenhoekiella	sk__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Leeuwenhoekiella	sk__Bacteria.nr__FCB_group.nr__Bacteroidetes/Chlorobi_group.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Leeuwenhoekiella
Legionellales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales
Leisingera	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Leisingera	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Leisingera
Leotiomycetes	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Leotiomycetes	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Leotiomycetes
Lepidoptera	sk__Eukaryota.k__Metazoa.p__Arthropoda.c__Insecta.o__Lepidoptera	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Protostomia.nr__Ecdysozoa.nr__Panarthropoda.p__Arthropoda.nr__Mandibulata.nr__Pancrustacea.c__Insecta.nr__Dicondylia.so__Amphiesmenoptera.o__Lepidoptera
Leuconostocaceae	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae
Liliopsida	sk__Eukaryota.k__Viridiplantae.p__Streptophyta.c__Magnoliopsida.nr__Liliopsida	sk__Eukaryota.k__Viridiplantae.p__Streptophyta.nr__Embryophyta.nr__Tracheophyta.nr__Euphyllophyta.nr__Spermatophyta.c__Magnoliopsida.nr__Mesangiospermae.nr__Liliopsida
Listeriaceae	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Listeriaceae	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Bacillales.f__Listeriaceae
Loktanella	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Loktanella	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Loktanella
Lysinibacillus	sk__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus	sk__Bacteria.nr__Terrabacteria_group.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Lysinibacillus
Magnaporthales	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Magnaporthales	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Sordariomycetes.o__Magnaporthales
Mammalia	sk__Eukaryota.k__Metazoa.p__Chordata.c__Mammalia	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Deuterostomia.p__Chordata.nr__Vertebrata.nr__Gnathostomata.nr__Teleostomi.nr__Euteleostomi.sc__Sarcopterygii.nr__Dipnotetrapodomorpha.nr__Tetrapoda.nr__Amniota.c__Mammalia
Maribacter	sk__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter	sk__Bacteria.nr__FCB_group.nr__Bacteroidetes/Chlorobi_group.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Maribacter
Marinilabiliaceae	sk__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Marinilabiliales.f__Marinilabiliaceae	sk__Bacteria.nr__FCB_group.nr__Bacteroidetes/Chlorobi_group.p__Bacteroidetes.c__Bacteroidia.o__Marinilabiliales.f__Marinilabiliaceae
Metatheria	sk__Eukaryota.k__Metazoa.p__Chordata.c__Mammalia.nr__Metatheria	sk__Eukaryota.nr__Opisthokonta.k__Metazoa.nr__Eumetazoa.nr__Bilateria.nr__Deuterostomia.p__Chordata.nr__Vertebrata.nr__Gnathostomata.nr__Teleostomi.nr__Euteleostomi.sc__Sarcopterygii.nr__Dipnotetrapodomorpha.nr__Tetrapoda.nr__Amniota.c__Mammalia.nr__Theria.nr__Metatheria
Metazoa	sk__Eukaryota.k__Metazoa	sk__Eukaryota.nr__Opisthokonta.k__Metazoa
Methanobacteria	sk__Archaea.p__Euryarchaeota.c__Methanobacteria	sk__Archaea.p__Euryarchaeota.nr__Methanomada_group.c__Methanobacteria
Methanococci	sk__Archaea.p__Euryarchaeota.c__Methanococci	sk__Archaea.p__Euryarchaeota.nr__Methanomada_group.c__Methanococci
Methanomicrobia	sk__Archaea.p__Euryarchaeota.c__Methanomicrobia	sk__Archaea.p__Euryarchaeota.nr__Stenosarchaea_group.c__Methanomicrobia
Methylobacteriaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae
Methylococcales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales
Methylocystaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae	sk__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylocystaceae
Microbacteriaceae	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae
Micrococcaceae	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae
Micromonosporales	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Micromonosporales
Microviridae	sk__Viruses.f__Microviridae	sk__Viruses.f__Microviridae
Mononegavirales	sk__Viruses.p__Negarnaviricota.c__Monjiviricetes.o__Mononegavirales	sk__Viruses.nr__Riboviria.p__Negarnaviricota.c__Monjiviricetes.o__Mononegavirales
Moraxellaceae	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	sk__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae
Mycobacteriaceae	sk__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae	sk__Bacteria.nr__Terrabacteria_group.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae
Myoviridae	sk__Viruses.o__Caudovirales.f__Myoviridae	sk__Viruses.o__Caudovirales.f__Myoviridae
Myroides	sk__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Myroides	sk__Bacteria.nr__FCB_group.nr__Bacteroidetes/Chlorobi_group.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Myroides
Myxococcales	sk__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales	sk__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Myxococcales
Nectriaceae	sk__Eukaryota.k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae	sk__Eukaryota.nr__Opisthokonta.k__Fungi.p__Ascomycota.nr__saccharomyceta.nr__leotiomyceta.nr__sordariomyceta.c__Sordariomycetes.o__Hypocreales.f__Nectriaceae
